parent_id,ts,price,qty,venue,order_type
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:00:00,134.66,34,LIT,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:00:00,134.67000000000002,161,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:01:00,134.57,39,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:01:00,134.59,318,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:02:00,134.49,282,LIT,PEG
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:02:00,134.53,16,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:02:00,134.51,542,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:03:00,134.5,170,LIT,PEG
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:05:00,134.47,355,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:06:00,134.39000000000001,12,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:07:00,134.42000000000002,194,DARK,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:07:00,134.38,4,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:09:00,134.4,152,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:09:00,134.39000000000001,134,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:09:00,134.37,210,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:09:00,134.27,273,LIT,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:10:00,134.35,13,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:10:00,134.29,327,LIT,PEG
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:10:00,134.27,306,LIT,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:10:00,134.23,35,LIT,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:11:00,134.35,602,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:12:00,134.46,32,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:12:00,134.51,79,DARK,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:13:00,134.3,38,LIT,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:13:00,134.43,564,DARK,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:14:00,134.46,44,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:14:00,134.44,84,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:14:00,134.35,221,LIT,PEG
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:14:00,134.44,16,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:14:00,134.26,18,LIT,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:15:00,134.4,54,DARK,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:15:00,134.26,41,LIT,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:16:00,134.44,202,DARK,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:16:00,134.13,384,LIT,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:16:00,134.22,122,DARK,PEG
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:17:00,134.21,711,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:17:00,134.04,77,LIT,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:17:00,134.05,55,LIT,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:18:00,134.36,104,DARK,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:18:00,134.22,44,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:18:00,134.36,118,DARK,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:19:00,133.97,191,LIT,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:19:00,134.33,389,DARK,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:19:00,134.19,237,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:20:00,134.2,49,DARK,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:20:00,134.08,34,LIT,PEG
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:22:00,134.13,45,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:23:00,134.14000000000001,478,LIT,LIMIT
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:23:00,133.85,1111,LIT,MARKETABLE
005cecd455d29676c2ee30dfaf3c0c7e531376da,2025-08-13 13:23:00,133.82,273,LIT,MARKETABLE
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:00:00,135.7,575,LIT,PEG
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:00:00,135.73,109,DARK,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:03:00,135.67000000000002,419,LIT,MARKETABLE
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:03:00,135.71,454,LIT,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:03:00,135.67000000000002,23,LIT,MARKETABLE
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:05:00,135.77,262,LIT,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:06:00,135.68,71,DARK,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:06:00,135.66,1022,DARK,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:06:00,135.6,21,LIT,MARKETABLE
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:08:00,135.7,118,DARK,PEG
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:08:00,135.77,82,DARK,MARKETABLE
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:09:00,135.64000000000001,852,LIT,MARKETABLE
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:10:00,135.73,672,DARK,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:10:00,135.73,300,LIT,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:11:00,135.64000000000001,0,LIT,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:12:00,135.55,619,LIT,PEG
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:14:00,135.56,585,DARK,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:14:00,135.58,110,LIT,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:15:00,135.59,559,DARK,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:17:00,135.51,730,LIT,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:17:00,135.52,51,LIT,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:17:00,135.53,114,DARK,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:17:00,135.46,253,LIT,PEG
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:17:00,135.53,169,LIT,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:18:00,135.61,318,DARK,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:18:00,135.62,154,LIT,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:18:00,135.69,125,DARK,MARKETABLE
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:19:00,135.56,51,LIT,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:20:00,135.58,163,LIT,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:20:00,135.55,122,DARK,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:21:00,135.6,52,DARK,MARKETABLE
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:22:00,135.34,30,LIT,MARKETABLE
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:22:00,135.39000000000001,452,DARK,PEG
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:23:00,135.37,200,LIT,MARKETABLE
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:24:00,135.42000000000002,113,LIT,PEG
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:24:00,135.48,116,DARK,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:25:00,135.57,43,DARK,MARKETABLE
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:25:00,135.38,409,LIT,MARKETABLE
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:28:00,135.37,415,DARK,LIMIT
0171512f8bef17e0ed4d823b2ee52ca5928529f3,2025-08-19 13:29:00,135.24,246,LIT,MARKETABLE
